Servicio de salud|Categoría|Cargo|Cometido
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO OFTALMÓLOGO|Realizar interconsulta a nivel secundario, a pacientes beneficiarios del CESFAM Vitacura, en caso de patología de Resolutividad hospitalaria.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO OFTALMÓLOGO|Prescripción de medicamentos y confección de recetas electrónicas según protocolo.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO OFTALMÓLOGO|Registro en ficha electrónica y planilla Excel para REM y SIGGES.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO OFTALMÓLOGO|Modalidad Presencial, en horarios de atención habitual, extensiones horarias o fines de semana.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO OFTALMÓLOGO|Apoyo en otras áreas del CESFAM según la contingencia sanitaria nacional o necesidades del establecimiento o Municipalidad.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO DIABETÓLOGO|Actividades requeridas para responder a las exigencias de los convenios establecidos entre el municipio, SSMO y otras entidades.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO DIABETÓLOGO|Atención médica para pacientes en el Programa de Salud Cardiovascular (Diabetes, Hipertensión y Dislipidemia).
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO DIABETÓLOGO|Derivación intra y extra CESFAM según protocolo y flujograma.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO DIABETÓLOGO|Derivación hacia otros niveles de atención de la red según normas de derivación del SSMO.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO DIABETÓLOGO|Prescripción de medicamentos y confección de recetas electrónicas y de crónicos según protocolo.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO DIABETÓLOGO|Solicitud de exámenes médicos vía electrónica según protocolo, flujograma y convenios establecidos en el centro de salud y SSMO.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO DIABETÓLOGO|Registro en ficha electrónica y planilla Excel para REM y SIGGES
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO DIABETÓLOGO|Actividades requeridas para responder a las exigencias de los convenios establecidos entre el municipio, SSMO y otras entidades.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO DIABETÓLOGO|Modalidad Presencial, en horarios de atención habitual, extensiones horarias o fines de semana.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO DIABETÓLOGO|Apoyo en otras áreas del CESFAM según la contingencia sanitaria nacional o necesidades del establecimiento o Municipalidad.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO ECG|Realizar el informe médico de los exámenes de Electrocardiogramas que son solicitados y realizados en el CESFAM Vitacura según programación, demanda y flujograma del Programa de Salud Cardiovascular
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO ECG|Emitir informe individual a cada ECG en los plazos establecidos por el CESFAM.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO ECG|Modalidad remota y/o presencial.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|QUÍMICO FARMACÉUTICO|Asesoría y/o apoyo administrativo y técnico para diferentes acciones análisis de stock, gestión de ventas, de proceso de compras, licitaciones, entre otras.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|QUÍMICO FARMACÉUTICO|Establecer mejoras en procesos de compras y obtención de datos de manera más automatizada, asociados a indicadores de gestión.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|QUÍMICO FARMACÉUTICO|Pertinencia en unidades de salud asociadas a la Dirección de Servicios de Salud y Educación (DSSE), como CESFAM Vitacura, Vitabotica.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|QUÍMICO FARMACÉUTICO|Registro en ficha electrónica y planilla Excel para REM y SIGGES
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|QUÍMICO FARMACÉUTICO|Modalidad Presencial, en horarios de atención habitual, extensiones horarias o fines de semana.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|QUÍMICO FARMACÉUTICO|Apoyo en otras áreas del CESFAM según la contingencia sanitaria nacional o necesidades del establecimiento o Municipalidad.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|QUÍMICO FARMACÉUTICO|Asesoría y/o apoyo administrativo y técnico para diferentes acciones análisis de stock, gestión de ventas, de proceso de compras, licitaciones, entre otras.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|QUÍMICO FARMACÉUTICO|Establecer mejoras en procesos de compras y obtención de datos de manera más automatizada, asociados a indicadores de gestión.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|QUÍMICO FARMACÉUTICO|Pertinencia en unidades de salud asociadas a la Dirección de Servicios de Salud y Educación (DSSE), como CESFAM Vitacura, Vitabotica.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|QUÍMICO FARMACÉUTICO|Registro en ficha electrónica y planilla Excel para REM y SIGGES
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|QUÍMICO FARMACÉUTICO|Modalidad Presencial, en horarios de atención habitual, extensiones horarias o fines de semana.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|QUÍMICO FARMACÉUTICO|Apoyo en otras áreas del CESFAM según la contingencia sanitaria nacional o necesidades del establecimiento o Municipalidad.
CESFAM|CATEGORÍA A - UNIDAD DE ODONTOLOGÍA|ODONTÓLOGO GENERAL GES|Actividades requeridas para responder a las exigencias del convenio GES odontológico establecidos entre el municipio, SSMO, entre otros.
CESFAM|CATEGORÍA A - UNIDAD DE ODONTOLOGÍA|ODONTÓLOGO GENERAL GES|Realizar atenciones odontológicas integrales a beneficiaros en el CESFAM Vitacura independiente del Sector del beneficiario, para dar cumplimiento a las Patologías GES Odontológicas (Salud Oral Integral para la Embarazada, Salud Oral Integral para niños y niñas de 6 años, Salud Oral Integral para Adultos de 60 años, Urgencia Odontológica.
CESFAM|CATEGORÍA A - UNIDAD DE ODONTOLOGÍA|ODONTÓLOGO GENERAL GES|Realizar examen de salud oral, actividades promocionales, preventivas y restaurativas como son aplicación de flúor, refuerzo de técnica de cepillado, aplicación de sellantes, restauraciones de resina compuesta y/o vidrio ionómero, trepanaciones (inicio de endodoncia), destartraje, reparación simple de prótesis removible, entre otros para lograr el Alta Odontológica Integral del beneficiario dentro y/o fuera del centro de salud.
CESFAM|CATEGORÍA A - UNIDAD DE ODONTOLOGÍA|ODONTÓLOGO GENERAL GES|Realizar atenciones de Urgencia Odontológica Ambulatoria (GES) según necesidad del paciente.
CESFAM|CATEGORÍA A - UNIDAD DE ODONTOLOGÍA|ODONTÓLOGO GENERAL GES|Registrar las actividades según el protocolo CESFAM de la unidad odontológica.
CESFAM|CATEGORÍA A - UNIDAD DE ODONTOLOGÍA|ODONTÓLOGO GENERAL GES|Realizar prescripción de fármacos y confección de recetas electrónicas según protocolo.
CESFAM|CATEGORÍA A - UNIDAD DE ODONTOLOGÍA|ODONTÓLOGO GENERAL GES|Registro en ficha electrónica y planilla Excel para REM y SIGGES.
CESFAM|CATEGORÍA A - UNIDAD DE ODONTOLOGÍA|ODONTÓLOGO GENERAL GES|Modalidad Presencial, en horarios de atención habitual, extensiones horarias o fines de semana.
CESFAM|CATEGORÍA A - UNIDAD DE ODONTOLOGÍA|ODONTÓLOGO GENERAL GES|Apoyo en otras áreas del CESFAM según la contingencia sanitaria nacional o necesidades del establecimiento o Municipalidad.
CESFAM|CATEGORÍA A - UNIDAD DE ODONTOLOGÍA|ODONTÓLOGO OTROS CONVENIOS SSMO Y MUNICIPALIDAD|Actividades requeridas para responder a las exigencias de los convenios odontológicos (Convenio Odontológico integral, mejoramiento del acceso, Sembrando sonrisas) establecidos entre el municipio, SSMO.
CESFAM|CATEGORÍA A - UNIDAD DE ODONTOLOGÍA|ODONTÓLOGO OTROS CONVENIOS SSMO Y MUNICIPALIDAD|Realizar atenciones odontológicas integrales a beneficiaros en el CESFAM Vitacura independiente del Sector del beneficiario, para dar cumplimiento a cualquiera de los siguientes convenios: Convenio Odontológico integral, mejoramiento del acceso, Sembrando sonrisas
CESFAM|CATEGORÍA A - UNIDAD DE ODONTOLOGÍA|ODONTÓLOGO OTROS CONVENIOS SSMO Y MUNICIPALIDAD|Realizar examen de salud oral, actividades promocionales, preventivas y restaurativas como son aplicación de flúor, refuerzo de técnica de cepillado, aplicación de sellantes, restauraciones de resina compuesta y/o vidrio ionómero, trepanaciones (inicio de endodoncia), destartraje, reparación simple de prótesis removible, entre otros para lograr el Alta Odontológica Integral del beneficiario.
CESFAM|CATEGORÍA A - UNIDAD DE ODONTOLOGÍA|ODONTÓLOGO OTROS CONVENIOS SSMO Y MUNICIPALIDAD|Realizar prescripción de fármacos y confección de recetas electrónicas según protocolo.
CESFAM|CATEGORÍA A - UNIDAD DE ODONTOLOGÍA|ODONTÓLOGO OTROS CONVENIOS SSMO Y MUNICIPALIDAD|Registro en ficha electrónica y planilla Excel para REM y SIGGES.
CESFAM|CATEGORÍA A - UNIDAD DE ODONTOLOGÍA|ODONTÓLOGO OTROS CONVENIOS SSMO Y MUNICIPALIDAD|Modalidad Presencial, en horarios de atención habitual, extensiones horarias o fines de semana.
CESFAM|CATEGORÍA A - UNIDAD DE ODONTOLOGÍA|ODONTÓLOGO OTROS CONVENIOS SSMO Y MUNICIPALIDAD|Apoyo en otras áreas del CESFAM según la contingencia sanitaria nacional o necesidades del establecimiento o Municipalidad.
CESFAM|CATEGORÍA A - UNIDAD DE ODONTOLOGÍA|ODONTÓLOGO ESPECIALISTA|Actividades requeridas para responder a las exigencias de los convenios: GES odontológico, Mejoramiento del acceso, convenio odontológico MAIS establecidos entre el municipio, SSMO.
CESFAM|CATEGORÍA A - UNIDAD DE ODONTOLOGÍA|ODONTÓLOGO ESPECIALISTA|Realizar atenciones de Especialidad de Implantología, Prótesis Removible y Fija, Endodoncia, Periodoncia, Radiología, Odontopediatría, Ortodoncia y Disfunciones Temporomandibular y Dolor Orofacial a beneficiarios, derivados por el Odontólogo General para dar cumplimiento a las Normativas Ministeriales de los Programas de Salud Cardiovascular, GES, Reforzamiento de la Atención Odontológica y los distintos Convenios odontológicos establecidos entre el municipio, SSMO y otras entidades.
CESFAM|CATEGORÍA A - UNIDAD DE ODONTOLOGÍA|ODONTÓLOGO ESPECIALISTA|Realizar prescripción de fármacos y confección de recetas electrónicas según protocolo.
CESFAM|CATEGORÍA A - UNIDAD DE ODONTOLOGÍA|ODONTÓLOGO ESPECIALISTA|Registro en ficha electrónica y planilla Excel para REM y SIGGES.
CESFAM|CATEGORÍA A - UNIDAD DE ODONTOLOGÍA|ODONTÓLOGO ESPECIALISTA|Modalidad Presencial, en horarios de atención habitual, extensiones horarias o fines de semana.
CESFAM|CATEGORÍA A - UNIDAD DE ODONTOLOGÍA|ODONTÓLOGO ESPECIALISTA|Apoyo en otras áreas del CESFAM según la contingencia sanitaria nacional o necesidades del establecimiento o Municipalidad.
CESFAM|CATEGORÍA B|PSICÓLOGA|Actividades requeridas para responder a las exigencias del convenio DIR establecidos entre el municipio, SSMO.
CESFAM|CATEGORÍA B|PSICÓLOGA|Atención psicológica dirigida a la población que consulta o es derivado por médico del CESFAM para entregar tratamiento oportuno al consumo de alcohol y otras sustancias adictivas.
CESFAM|CATEGORÍA B|PSICÓLOGA|Realizar intervenciones psicoterapéuticas para la población asignada.
CESFAM|CATEGORÍA B|PSICÓLOGA|Realizar talleres grupales psicoeducativos para la población asignada.
CESFAM|CATEGORÍA B|PSICÓLOGA|Realizar intervenciones preventivas grupales para la población asignada.
CESFAM|CATEGORÍA B|PSICÓLOGA|Registrar las actividades según el protocolo CESFAM.
CESFAM|CATEGORÍA B|PSICÓLOGA|Apoyo en la actividad de Promoción y Prevención en salud intra y extra CESFAM.
CESFAM|CATEGORÍA B|PSICÓLOGA|Registro en ficha electrónica y planilla Excel para REM y SIGGES
CESFAM|CATEGORÍA B|PSICÓLOGA|Modalidad Presencial, en horarios de atención habitual, extensiones horarias o fines de semana.
CESFAM|CATEGORÍA B|PSICÓLOGA|Apoyo en otras áreas del CESFAM según la contingencia sanitaria nacional o necesidades del establecimiento o Municipalidad.
CESFAM|CATEGORÍA B|EDUCADOR DE PÁRVULO|Actividades requeridas para responder a las exigencias de los convenios establecidos entre el municipio, SSMO y otras entidades.
CESFAM|CATEGORÍA B|EDUCADOR DE PÁRVULO|Atención a los niños insertos en el programa Chile Crece Contigo, quienes tengan diagnosticado un rezago o déficit en el DSM, con el fin de diseñar y llevar a cabo un plan de intervención estratégico, mediante estimulación temprana y educación integral.
CESFAM|CATEGORÍA B|EDUCADOR DE PÁRVULO|Orientación a la madre, padre o cuidador sobre como estimular las áreas con déficit encontradas.
CESFAM|CATEGORÍA B|EDUCADOR DE PÁRVULO|Elaboración y entrega de información a los padres o cuidadores, respecto a cómo estimular el DSM del niño o niña con grados de vulnerabilidad, en el hogar.
CESFAM|CATEGORÍA B|EDUCADOR DE PÁRVULO|Integrar y fomentar el uso de materiales de juego, apoyo y educación entregado por CCC.
CESFAM|CATEGORÍA B|EDUCADOR DE PÁRVULO|Derivación preferencial de madres y padres o cuidadores a taller "Nadie es perfecto"
CESFAM|CATEGORÍA B|EDUCADOR DE PÁRVULO|Entregar información mensual de los niños que ingresen a sala de estimulación con su respectivo plan de intervención y seguimiento.
CESFAM|CATEGORÍA B|EDUCADOR DE PÁRVULO|Registro en ficha electrónica y planilla Excel para REM y SIGGES
CESFAM|CATEGORÍA B|EDUCADOR DE PÁRVULO|Modalidad Presencial, en horarios de atención habitual, extensiones horarias o fines de semana.
CESFAM|CATEGORÍA B|EDUCADOR DE PÁRVULO|Apoyo en otras áreas del CESFAM según la contingencia sanitaria nacional o necesidades del establecimiento o Municipalidad.
CESFAM|CATEGORÍA B|KINESIÓLOGO|Actividades requeridas para responder a las exigencias de los convenios establecidos entre el municipio, SSMO y otras entidades.
CESFAM|CATEGORÍA B|KINESIÓLOGO|Convenio Más AMA, Convenio Elige Vida Sana, Cuidados Paliativos Universales.
CESFAM|CATEGORÍA B|KINESIÓLOGO|Actividades requeridas en Sala Respiratoria y/o Sala de Rehabilitación Kinésica.
CESFAM|CATEGORÍA B|KINESIÓLOGO|Realizar visitas domiciliarias a pacientes del Programa oxigeno dependiente o pacientes con Score IRA alterado, Programa de Visitas domiciliarias, o según cualquier otro requerimiento.
CESFAM|CATEGORÍA B|KINESIÓLOGO|Realizar talleres grupales requeridos por el SSMO, CESFAM Vitacura, o DSSE.
CESFAM|CATEGORÍA B|KINESIÓLOGO|Registrar las actividades según el protocolo y flujograma CESFAM.
CESFAM|CATEGORÍA B|KINESIÓLOGO|Toma de exámenes PCR o de antígeno a los pacientes que atiende el CESFAM.
CESFAM|CATEGORÍA B|KINESIÓLOGO|Apoyo en la actividad de Promoción y Prevención en salud intra y extra CESFAM.
CESFAM|CATEGORÍA B|KINESIÓLOGO|Registro en ficha electrónica y planilla Excel para REM y SIGGES
CESFAM|CATEGORÍA B|KINESIÓLOGO|Modalidad Presencial, en horarios de atención habitual, extensiones horarias o fines de semana.
CESFAM|CATEGORÍA B|KINESIÓLOGO|Apoyo en otras áreas del CESFAM según la contingencia sanitaria nacional o necesidades del establecimiento o Municipalidad.
CESFAM|CATEGORÍA B|NUTRICIONISTA|Actividades requeridas para responder a las exigencias de los convenios establecidos entre el municipio, SSMO y otras entidades.
CESFAM|CATEGORÍA B|NUTRICIONISTA|Convenio Elige Vida Sana, Cuidados Paliativos Universales.
CESFAM|CATEGORÍA B|NUTRICIONISTA|Atención nutricional de pacientes derivados de todos los programas de salud.
CESFAM|CATEGORÍA B|NUTRICIONISTA|Atención para pacientes que necesitan compensación de valores de glicemia.
CESFAM|CATEGORÍA B|NUTRICIONISTA|Atención nutricional a pacientes pertenecientes al Club de Diabéticos.
CESFAM|CATEGORÍA B|NUTRICIONISTA|Realizar actividades de promoción y prevención de la salud nutricional en la comunidad general.
CESFAM|CATEGORÍA B|NUTRICIONISTA|Registrar las actividades según el protocolo y flujograma CESFAM.
CESFAM|CATEGORÍA B|NUTRICIONISTA|Realizar visitas domiciliarias a pacientes según requerimientos solicitados por CESFAM, DSSE.
CESFAM|CATEGORÍA B|NUTRICIONISTA|Apoyo en la actividad de Promoción y Prevención en salud intra y extra CESFAM.
CESFAM|CATEGORÍA B|NUTRICIONISTA|Registro en ficha electrónica y planilla Excel para REM y SIGGES
CESFAM|CATEGORÍA B|NUTRICIONISTA|Modalidad Presencial, en horarios de atención habitual, extensiones horarias o fines de semana.
CESFAM|CATEGORÍA B|NUTRICIONISTA|Apoyo en otras áreas del CESFAM según la contingencia sanitaria nacional o necesidades del establecimiento o Municipalidad.
CESFAM|CATEGORÍA B|MATRONA|Actividades requeridas para responder a las exigencias de los convenios establecidos entre el municipio, SSMO y otras entidades.
CESFAM|CATEGORÍA B|MATRONA|Apoyo en campañas de PAP.
CESFAM|CATEGORÍA B|MATRONA|Apoyo en el rescate de pacientes con mamografía y/o PAP atrasado de la población femenina inscrita en el CESFAM, de acuerdo con grupos objetivos determinados por el Servicio de Salud.
CESFAM|CATEGORÍA B|MATRONA|Educación en Salud sexual y reproductiva, prevención de ITS/VIH, prevención y autocuidado en colegios de la comuna.
CESFAM|CATEGORÍA B|MATRONA|Realizar visitas domiciliarias a pacientes según requerimientos solicitados por CESFAM, DSSE.
CESFAM|CATEGORÍA B|MATRONA|Apoyo en la actividad de Promoción y Prevención en salud intra y extra mural en estrategias de salud implementadas desde el Dpto. de Salud o SSMO u otras CESFAM.
CESFAM|CATEGORÍA B|MATRONA|Registro en ficha electrónica y planilla Excel para REM y SIGGES.
CESFAM|CATEGORÍA B|MATRONA|Modalidad Presencial, en horarios de atención habitual, extensiones horarias o fines de semana.
CESFAM|CATEGORÍA B|MATRONA|Apoyo en otras áreas del CESFAM según la contingencia sanitaria nacional o necesidades del establecimiento o Municipalidad.
CESFAM|CATEGORÍA B|ENFERMERA|Actividades requeridas para responder a las exigencias de los convenios establecidos entre el municipio, SSMO y otras entidades.
CESFAM|CATEGORÍA B|ENFERMERA|Realizar actividades de enfermería tales como: control de pacientes crónicos del Programa de Salud Cardiovascular, Control Sano, EMPAM, EMPA, entre otras prestaciones.
CESFAM|CATEGORÍA B|ENFERMERA|Realizar visitas domiciliarias a pacientes según requerimientos solicitados por CESFAM, DSSE.
CESFAM|CATEGORÍA B|ENFERMERA|Apoyo en la actividad de Promoción y Prevención en salud intra y extra mural en estrategias de salud implementadas desde el Dpto. de Salud o SSMO u otros como CESFAM.
CESFAM|CATEGORÍA B|ENFERMERA|Registro en ficha electrónica y planilla Excel para REM y SIGGES.
CESFAM|CATEGORÍA B|ENFERMERA|Modalidad Presencial, en horarios de atención habitual, extensiones horarias o fines de semana.
CESFAM|CATEGORÍA B|ENFERMERA|Apoyo en otras áreas del CESFAM según la contingencia sanitaria nacional o necesidades del establecimiento o Municipalidad.
CESFAM|CATEGORÍA B|ASISTENTE SOCIAL|Actividades requeridas para responder a las exigencias de los convenios establecidos entre el municipio, SSMO y otras entidades.
CESFAM|CATEGORÍA B|ASISTENTE SOCIAL|Entregar educación y orientación a la comunidad que lo requieran en el tema de salud, prestaciones del CESFAM Vitacura y derivaciones al nivel secundario en actividades extramurales.
CESFAM|CATEGORÍA B|ASISTENTE SOCIAL|Apoyo en la actividad de Promoción y Prevención en salud intra y extra CESFAM
CESFAM|CATEGORÍA B|ASISTENTE SOCIAL|Registro en ficha electrónica y planilla Excel para REM y SIGGES.
CESFAM|CATEGORÍA B|ASISTENTE SOCIAL|Modalidad Presencial, en horarios de atención habitual, extensiones horarias o fines de semana.
CESFAM|CATEGORÍA B|ASISTENTE SOCIAL|Apoyo en otras áreas del CESFAM según la contingencia sanitaria nacional o necesidades del establecimiento o Municipalidad.
CESFAM|CATEGORÍA B|TERAPEUTA OCUPACIONAL|Actividades requeridas para responder a las exigencias de los convenios establecidos entre el municipio, SSMO y otras entidades.
CESFAM|CATEGORÍA B|TERAPEUTA OCUPACIONAL|Apoyar a los beneficiarios del CESFAM VITACURA, que presentan dificultades en sus áreas del desempeño ocupacional, facilitando el desarrollo satisfactorio en cada una de ellas como las actividades de vida diaria, educación, trabajo, juego, ocio y participación social, considerando siempre el contexto social y cultural al cual pertenece.
CESFAM|CATEGORÍA B|TERAPEUTA OCUPACIONAL|Realizar visitas domiciliarias a pacientes según requerimientos solicitados por CESFAM, DSSE.
CESFAM|CATEGORÍA B|TERAPEUTA OCUPACIONAL|Apoyo en la actividad de Promoción y Prevención en salud intra y extra CESFAM.
CESFAM|CATEGORÍA B|TERAPEUTA OCUPACIONAL|Registro en ficha electrónica y planilla Excel para REM y SIGGES.
CESFAM|CATEGORÍA B|TERAPEUTA OCUPACIONAL|Modalidad Presencial, en horarios de atención habitual, extensiones horarias o fines de semana.
CESFAM|CATEGORÍA B|TERAPEUTA OCUPACIONAL|Apoyo en otras áreas del CESFAM según la contingencia sanitaria nacional o necesidades del establecimiento o Municipalidad.
CESFAM|CATEGORÍA B|TECNÓLOGO MÉDICO|Actividades requeridas para responder a las exigencias de los convenios establecidos entre el municipio, SSMO y otras entidades.
