Informe Final + Informe Mensual	5. |[#] [NOMBRE PERSONA], deberá presentar un Informe Mensual señalando las actividades ejecutadas, el que presentará en conjunto con la respectiva Boleta de Honorarios de [MES INICIO] a [MES PENÚLTIMO] y un Informe Final, señalando el trabajo realizado, presentándolo antes del pago correspondiente al mes de [MES TERMINO de AÑO], el que deberá ser informado favorablemente por [DIRECTIVO A QUIEN SE INFORMA] y aprobado por Decreto Alcaldicio.
Informe Final	                5. |[#] [NOMBRE PERSONA], deberá presentar un Informe Final indicando el trabajo realizado, el que presentará en conjunto con la respectiva Boleta de Honorarios, presentándola antes del pago correspondiente al mes de [MES TERMINO de AÑO], el que deberá ser informado favorablemente por [DIRECTIVO A QUIEN SE INFORMA] y aprobado por Decreto Alcaldicio.
Beneficio: Fuero maternal	|[#] [NOMBRE PERSONA], en virtud de lo establecido en la cláusula TRES, se obliga a cotizar en el régimen de protección social, lo que le permitirá gozar de protección social, pudiendo invocar los beneficios que correspondan a la maternidad derivados de aquella cobertura, incluido el fuero maternal, quedando con la obligación de tramitar directamente en su Sistema de Previsional y de Salud las materias que sean pertinentes.
Beneficio: Vestuario	    |[#] La Municipalidad de Vitacura podrá entregar vestuario formal y calzado a [NOMBRE PERSONA], dependiendo de la disponibilidad presupuestaria y aprobación de este beneficio por parte del Concejo Municipal para el personal. La entrega se efectuará mediante un recibo por el cual se responsabilizará del buen uso, según lo indicado en Reglamento que para tal efecto se encuentre vigente.
Beneficio: Vestuario prestado   |[#] La Municipalidad de Vitacura proporcionará vestuario formal y calzado en calidad de préstamo a [NOMBRE PERSONA], en similares condiciones al personal municipal. Su uso durante el período del Contrato se entiende obligatorio; la entrega de las prendas se efectuará mediante un recibo por el cual se responsabilizará de su mantención y buen uso.
Beneficio: Capacitaciones	    |[#] La Municipalidad de Vitacura otorgará a [NOMBRE PERSONA], la oportunidad de asistir a Cursos de Capacitación, Seminarios, Congresos y Comisiones de Servicio dentro y fuera del territorio nacional, que estén directamente relacionados con las necesidades del servicio, efectuándose el pago de viáticos cuando proceda.
Beneficio: Administrativos Municipal, Vacaciones y Permisos	|[#] La Municipalidad de Vitacura concederá a [NOMBRE PERSONA], el beneficio de hacer uso de [06 días administrativos][, Feriado Legal y Permisos por Matrimonio, Nacimiento de hijos u otros, que establezca la Ley 18.883 en las mismas condiciones que se otorgan al Personal Municipal].
Beneficio: Administrativos Salud	|[#] [NOMBRE PERSONA], tendrá derecho a hacer uso de días administrativos
Beneficio: Aguinaldo	        |[#] La Municipalidad de Vitacura otorgará a [NOMBRE PERSONA], aguinaldo de [Fiestas Patrias][y_1][Navidad], de igual monto y en la forma establecida por la Ley para los funcionarios municipales.
Beneficio: Laptop y celular	    |[#] La Municipalidad de Vitacura proporcionará a [NOMBRE PERSONA], [una laptop][y_2][un celular] con la finalidad de facilitar la coordinación de sus labores con las distintas Unidades Municipales.
Beneficio: Uniforme Clínico	    |[#] La Municipalidad de Vitacura podrá entregar vestuario clínico a [NOMBRE PERSONA], dependiendo de la disponibilidad presupuestaria y aprobación de este beneficio por parte del Concejo Municipal para el personal. La entrega se efectuará mediante un recibo por el cual se responsabilizará del buen uso, según lo indicado en Reglamento que para tal efecto se encuentre vigente.
Siempre	|[#] La Municipalidad otorgará a [NOMBRE PERSONA], el beneficio de pago de Sala Cuna y/o Jardín Infantil de acuerdo a las condiciones establecidas para los funcionarios municipales.
Siempre	|[#] [NOMBRE PERSONA], declara estar en pleno conocimiento de la Ley N° 21.389, que crea el Registro Nacional de Deudores de Pensiones de Alimentos y a lo dispuesto en el Dictamen N° E414597N23 de la Contraloría General de la República. En el evento de mantener una inscripción vigente en calidad de deudor de alimentos en el Registro Nacional de Deudores de Pensiones de Alimentos autoriza a que se retenga y se pague directamente al alimentario el monto que corresponda a las futuras pensiones de alimentos más un recargo del diez por ciento e impute dicho monto a la deuda de alimentos, hasta extinguirla íntegramente.
Siempre	|[#] Para los efectos de este contrato se deja expresa constancia que [NOMBRE PERSONA], no tendrá la calidad de funcionario municipal.
Siempre	|[#] [NOMBRE PERSONA], conoce las normas sobre inhabilidades e incompatibilidades administrativas establecidas en los artículos 54, 55 y 56 de la Ley N°18.575, Orgánica Constitucional del Estado, las que son aplicables a las personas que trabajan a honorarios. 
Siempre	|[#] Para todos los efectos del presente contrato las partes fijan su domicilio en la ciudad de Santiago y se someten a la Jurisdicción de sus Tribunales.
Siempre	|[#] Los gastos por concepto de honorarios deberán imputarse a la cuenta [NRO CUENTA], "[Honorarios Suma Alzada/Programa]"[, Centro de Costos NRO CCOSTO], del presupuesto municipal vigente.
Siempre	|[#] El presente Decreto deberá ser ingresado en la Plataforma Siaper de la Contraloría General de la República para su correspondiente registro.
Siempre	|[#] NOTIFÍQUESE, el presente Decreto por el Secretario Municipal[(S)], a [NOMBRE PERSONA], con domicilio [PARTICULAR/LABORAL] en [DOMICILIO]. ([CORREO ELECTRONICO]).
MODIFICACIÓN Siempre	1. |[#] APRUEBASE LA MODIFICACIÓN DEL CONTRATO DE PRESTACIÓN DE SERVICIOS A HONORARIOS, celebrado entre la Municipalidad de Vitacura y [el Sr./la Sra. + NOMBRE PERSONA], RUT: [RUT PERSONA], de fecha [DÍA de MES de AÑO], en el siguiente sentido:
MODIFICACIÓN Incorporar cláusula(s)	|INCORPORASE: A CONTAR DEL [DÍA de MES de AÑO]
MODIFICACIÓN |CLÁUSULA [NRO CLÁUSULA MOD INCORPORAR]: 
MODIFICACIÓN |[CLÁUSULA A INCORPORAR]
MODIFICACIÓN Modificar cláusula(s)	|MODIFICASE: A CONTAR DEL [DÍA de MES de AÑO]
MODIFICACIÓN |CLÁUSULA [NRO CLÁUSULA A MODIFICAR]: 
MODIFICACIÓN |DONDE DICE
MODIFICACIÓN |[CLÁUSULA ORIGINAL] 
MODIFICACIÓN |DEBE DECIR 
MODIFICACIÓN |[CLÁUSULA MODIFICADA]
MODIFICACIÓN Siempre	2. |[#] En todo lo demás se mantiene lo establecido en el Decreto Siaper N°[X SIAPER] de fecha [DÍA de MES de AÑO SIAPER] y Contrato de fecha [DÍA de MES de AÑO].
MODIFICACIÓN Siempre	3. |[#] El presente Decreto deberá ser ingresado en la Plataforma Siaper de la Contraloría General de la República para su correspondiente registro.
MODIFICACIÓN Siempre	4. |[#] NOTIFÍQUESE, el presente Decreto por el Secretario Municipal[(S)], a [NOMBRE DE PERSONA], con domicilio [PARTICULAR/LABORAL] en [DOMICILIO]. ([CORREO ELECTRONICO]).
